NAME                              READY   STATUS    RESTARTS   AGE
cart-mongo-8c74d75d4-8kmbj        1/1     Terminating         0          10m
cart-598b6cdc77-nmsdw             1/1     Terminating         0          10m
config-latest-6c4bd5d5bd-kvsg7    1/1     Terminating         0          10m
store-latest-fd59d8888-4kw9r      1/1     Terminating         0          10m
purchase-5d97fb9b8c-hkkhs         1/1     Terminating         0          10m
ui-7bc6d569b-6mklk                1/1     Terminating         0          10m
config-latest-6c4bd5d5bd-bbkp2    0/1     Pending             0          0s
network-latest-8db575747-2zf28    0/1     Pending             0          0s
broker-latest-fd877b768-rb86g     0/1     Pending             0          0s
products-6d56579fc-spn27          0/1     Pending             0          0s
runtime-latest-6bc67fd44b-9pktn   0/1     Pending             0          0s
config-latest-6c4bd5d5bd-bbkp2    0/1     Pending             0          0s
network-latest-8db575747-2zf28    0/1     Pending             0          0s
broker-latest-fd877b768-rb86g     0/1     Pending             0          0s
products-6d56579fc-spn27          0/1     Pending             0          0s
runtime-latest-6bc67fd44b-9pktn   0/1     Pending             0          0s
users-postgres-0                  0/1     Pending             0          0s
orders-66fdd7bd8c-vt5lc           0/1     Pending             0          0s
users-postgres-0                  0/1     Pending             0          0s
ui-7bc6d569b-2qrfb                0/1     Pending             0          0s
orders-66fdd7bd8c-vt5lc           0/1     Pending             0          0s
registry-latest-ffc9b4bd4-rt6jc   0/1     Pending             0          0s
users-596646bb9c-tllvd            0/1     Pending             0          0s
ui-7bc6d569b-2qrfb                0/1     Pending             0          0s
registry-latest-ffc9b4bd4-rt6jc   0/1     Pending             0          0s
api-latest-58d9d65655-qqzfz       0/1     Pending             0          0s
users-596646bb9c-tllvd            0/1     Pending             0          0s
api-latest-58d9d65655-qqzfz       0/1     Pending             0          0s
proxy-latest-6b8fb9ff67-5r8k6     0/1     Pending             0          0s
store-latest-fd59d8888-jzvg9      0/1     Pending             0          0s
proxy-latest-6b8fb9ff67-5r8k6     0/1     Pending             0          0s
store-latest-fd59d8888-jzvg9      0/1     Pending             0          0s
cart-598b6cdc77-zt8lh             0/1     Pending             0          0s
products-mongo-6cc7b978c8-6xqpx   0/1     Pending             0          0s
orders-mongodb-57778486fd-v7mvz   0/1     Pending             0          0s
cart-598b6cdc77-zt8lh             0/1     Pending             0          0s
products-mongo-6cc7b978c8-6xqpx   0/1     Pending             0          0s
orders-mongodb-57778486fd-v7mvz   0/1     Pending             0          0s
supply-78968f4c84-mbdt4           0/1     Pending             0          0s
supply-78968f4c84-mbdt4           0/1     Pending             0          0s
auth-latest-6d7cf54788-dccvl      0/1     Pending             0          0s
auth-latest-6d7cf54788-dccvl      0/1     Pending             0          0s
cart-mongo-8c74d75d4-wpdh5        0/1     Pending             0          0s
cart-mongo-8c74d75d4-wpdh5        0/1     Pending             0          0s
events-latest-5fb699c7d4-n2vdn    0/1     Pending             0          0s
events-latest-5fb699c7d4-n2vdn    0/1     Pending             0          0s
purchase-5d97fb9b8c-f6ds6         0/1     Pending             0          0s
purchase-5d97fb9b8c-f6ds6         0/1     Pending             0          0s
config-latest-6c4bd5d5bd-bbkp2    0/1     ContainerCreating   0          1s
broker-latest-fd877b768-rb86g     0/1     ContainerCreating   0          2s
runtime-latest-6bc67fd44b-9pktn   0/1     ContainerCreating   0          2s
orders-66fdd7bd8c-vt5lc           0/1     ContainerCreating   0          3s
cart-598b6cdc77-zt8lh             0/1     ContainerCreating   0          3s
orders-mongodb-57778486fd-v7mvz   0/1     ContainerCreating   0          4s
supply-78968f4c84-mbdt4           0/1     ContainerCreating   0          4s
purchase-5d97fb9b8c-f6ds6         0/1     ContainerCreating   0          4s
network-latest-8db575747-2zf28    0/1     ContainerCreating   0          5s
products-6d56579fc-spn27          0/1     ContainerCreating   0          5s
users-postgres-0                  0/1     ContainerCreating   0          6s
ui-7bc6d569b-2qrfb                0/1     ContainerCreating   0          6s
cart-mongo-8c74d75d4-wpdh5        0/1     ContainerCreating   0          6s
registry-latest-ffc9b4bd4-rt6jc   0/1     ContainerCreating   0          7s
api-latest-58d9d65655-qqzfz       0/1     ContainerCreating   0          7s
config-latest-6c4bd5d5bd-bbkp2    0/1     Running             0          7s
runtime-latest-6bc67fd44b-9pktn   0/1     Running             0          7s
proxy-latest-6b8fb9ff67-5r8k6     0/1     ContainerCreating   0          8s
auth-latest-6d7cf54788-dccvl      0/1     ContainerCreating   0          8s
events-latest-5fb699c7d4-n2vdn    0/1     ContainerCreating   0          8s
broker-latest-fd877b768-rb86g     0/1     Running             0          8s
network-latest-8db575747-2zf28    0/1     Running             0          9s
users-596646bb9c-tllvd            0/1     ContainerCreating   0          9s
cart-598b6cdc77-zt8lh             1/1     Running             0          9s
supply-78968f4c84-mbdt4           1/1     Running             0          9s
orders-66fdd7bd8c-vt5lc           1/1     Running             0          9s
purchase-5d97fb9b8c-f6ds6         1/1     Running             0          9s
store-latest-fd59d8888-jzvg9      0/1     ContainerCreating   0          10s
products-mongo-6cc7b978c8-6xqpx   0/1     ContainerCreating   0          10s
orders-mongodb-57778486fd-v7mvz   1/1     Running             0          10s
products-6d56579fc-spn27          1/1     Running             0          13s
registry-latest-ffc9b4bd4-rt6jc   0/1     Running             0          14s
store-latest-fd59d8888-jzvg9      0/1     Running             0          15s
proxy-latest-6b8fb9ff67-5r8k6     0/1     Running             0          15s
users-596646bb9c-tllvd            1/1     Running             0          15s
events-latest-5fb699c7d4-n2vdn    0/1     Running             0          15s
auth-latest-6d7cf54788-dccvl      0/1     Running             0          15s
config-latest-6c4bd5d5bd-bbkp2    1/1     Running             0          16s
users-596646bb9c-tllvd            0/1     Error               0          16s
api-latest-58d9d65655-qqzfz       0/1     Running             0          16s
users-596646bb9c-tllvd            1/1     Running             1          18s
users-596646bb9c-tllvd            0/1     Error               1          19s
broker-latest-fd877b768-rb86g     1/1     Running             0          19s
users-596646bb9c-tllvd            0/1     CrashLoopBackOff    1          20s
ui-7bc6d569b-2qrfb                1/1     Running             0          21s
network-latest-8db575747-2zf28    1/1     Running             0          22s
